Txn Hash,Method,Block,Date Time (UTC),From,Is SELF,To,Value (ETH),Txn Fee
0x11838df49f39fa3d69bcfa18982c8c3286ec3f330fd64760c896e0f5b5fa1c83,Transfer,19384544,2024-03-07 16:39:23,0x6b18be18...D7923d54f,False,Tether: USDT Stablecoin,0.0,0.00503978
0xf6da99a0d4356356bf00a3c0131a887a95834a718a88ae1abbb440453d89f512,Transfer,19384544,2024-03-07 16:39:23,0x63818Dd5...3bde82e6B,False,Polyswarm: Nectar Token,0.0,0.0039445
0xbb001af0d89f4b8d6052719f83b9c9291ee278bfdcaac276cf65e479490571e7,Transfer,19384544,2024-03-07 16:39:23,0x9eD1DEd7...2f953096E,False,Tether: USDT Stablecoin,0.0,0.00329269
0x064fdd7a1f8333e02bf597ce6a0164e6332c1c4faba5661d7c270153119db34e,Transfer,19384544,2024-03-07 16:39:23,0x3ad444E5...134420bC3,False,Tether: USDT Stablecoin,0.0,0.00367636
0x04f71bd57c8470ac7155dcbf4689d3487212a1f5a7b265970b6c2a60031e83ca,Sell To Uniswap,19384544,2024-03-07 16:39:23,0x2a599ddC...5E2B15058,False,0x: Exchange Proxy,0.104626314,0.00949059
0x78d081222870a89c1cc19e4038295ae1b236a52d54619528111f82b7189c7797,Transfer,19384544,2024-03-07 16:39:23,0x4B404A37...053D709ca,False,0x77B7c428...5E8f801be,0.0,0.00320012
0xc395cfd174940f2de8d75477121103f45df92f3f805a8a536b9c3aec8ca8a53f,Sell To Uniswap,19384544,2024-03-07 16:39:23,0x807B310D...2715448cB,False,0x: Exchange Proxy,0.020925262,0.01320586
0x109c119ba55a0fa8ac61e67e2fccabba037d69771f222ce41f273530d8e6c253,Execute,19384544,2024-03-07 16:39:23,0x0ca3bCdA...7F51321f1,False,Uniswap: Universal Router,0.5,0.01092768
0x1e6bcffedbcdb09dfa52131624d3ac606f0da6d71e79d18a0ee125e01ffca91b,Sell To Uniswap,19384544,2024-03-07 16:39:23,0x89de9335...81A852e01,False,0x: Exchange Proxy,0.012270066,0.01011433
0xdf3a4d3e6a5907c2907711482e84ab55212079af5f545ac748b528d593295e2d,Unoswap,19384544,2024-03-07 16:39:23,0x400D3a2f...D7d158519,False,1inch v5: Aggregation Router,0.019268122,0.01318968
0xc83294c8ee782ac96975ac6f7eec7bb72ed197ed556e6818d9d7ca3c460633e6,Create Proxy Wit...,19384544,2024-03-07 16:39:23,0xB9C8AC33...3255affca,False,Safe: Proxy Factory 1.3.0,0.0,0.02435592
0x8f343c92a04853db021ddbf5fb2ec049795665702bbb2ff470c9b31b8d0e5672,Commit Batch,19384544,2024-03-07 16:39:23,Scroll: Batch Committer,False,Scroll: L1 Scroll Chain Proxy,0.0,0.10146259
0xb8513bebec12e556794162a60f46601c47ec14ceb43f392292a7bf1ba424588c,Execute,19384544,2024-03-07 16:39:23,0xd0124eA3...E46fb8bb2,False,Uniswap: Universal Router,0.0,0.01773162
0x94d900e3bd5fa9ad34af638b1bad866457efd1dba01645fd04746d9291672518,Transfer,19384544,2024-03-07 16:39:23,Transak: Wallet 1,False,0xf5e72fa9...3aA8B99C2,0.008778257,0.00167437
0xf456690f981f7a10cd77373ede5e91fb551981cfcb015946c5ea4b89fdca8cca,Transfer,19384544,2024-03-07 16:39:23,0x349Bc445...88d681409,False,Tether: USDT Stablecoin,0.0,0.00465802
0x2baba3ff7ffbe52b1d27106c7f4e0fada9b5efd766c243a383579e872d94c062,Transfer,19384544,2024-03-07 16:39:23,Circle,False,Circle: USDC Token,0.0,0.00496319
0x93ece70feb1504224840243b61976f608a15c5549f1271be168c4d1113ab6720,Mint,19384544,2024-03-07 16:39:23,0x5B6122C1...0a50A47D7,False,Circle: USDC Token,0.0,0.00443504
0xa2293858b5abab131b4cecebcd8e024b1e4d31bd013196eb6afbf962009464d5,Transfer,19384544,2024-03-07 16:39:23,0xBA81724b...96956821f,False,0xfd6398e6...e0A2989bb,5.035,0.00167445
0x472af6797741426fcc3dade16e29b64c66a5879e1e8aee26f790ca925aa145be,Transfer,19384544,2024-03-07 16:39:23,0x79b45640...60dFAd129,False,0x2e9448d5...7D95CE03D,0.020636531,0.00167445
0x55d7cb462f63c09ad87667c3eaa62cb40fe01e2a715aec0e7b71e0ca7b4943f5,Transfer,19384544,2024-03-07 16:39:23,0x49BdFCc6...D9F350217,False,0x7e837904...86F3Ed40a,0.071,0.00167445
0x3fe6e8b8a3d923bd7707b01b9fa563bb1b499d56ce71963619ae37228f9a8f98,Transfer,19384544,2024-03-07 16:39:23,0xe6A5e874...F64d9Ff8F,False,0x4385328c...596C83449,0.0,0.00334037
0xc1a7e1e9c425fa1ae56d7267cea69a7f76bccdc27d6544e46b75d3ffd7aa6aba,Transfer,19384544,2024-03-07 16:39:23,0x6b7289dd...6885bFc96,False,0x9504950C...498837BD6,0.010241,0.00167445
0xf2ae656a73a97107940c45cf753c068f8d447dcf46ec34c19d8102d723f963fc,Transfer,19384544,2024-03-07 16:39:23,0x5BCABc61...cB449249F,False,0x463Dbb84...F1C7F9d39,0.063949427,0.00167445
0x4bb448fcf6f92dd779bb7db0a0d6dd669cbbac6ba45d1856171304df254e38db,Approve,19384544,2024-03-07 16:39:23,0x1a24B930...46E8a6c57,False,Ordiswap: ORDS Token,0.0,0.0037184
